trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3110425,계상초등학교,537,0.0459,0.1862,7.8,147804906.0
3110600,신월7동주민센터,403,0.0458,0.1538,5.9,291217985.0
3110190,고대앞사거리,143,0.0458,0.1888,7.0,262420100.0
3110829,장승배기역 5번,75,0.0458,0.1467,4.0,68478530.0
3110216,전농중학교,340,0.0458,0.1824,5.5,236264659.0
3120142,대림역,743,0.0457,0.3271,16.8,965010398.0
3120028,명동(명동거리),871,0.0457,0.4569,38.3,2963297544.0
3130244,대림중앙시장,373,0.0457,0.2681,9.6,532159903.0
3110726,금천철쭉어린이공원(금하마을),242,0.0457,0.1116,4.4,88182596.0
3110579,마포역 4번,95,0.0457,0.1684,4.9,259832914.0
3130315,문정동 로데오거리 상점가(문정동 로데오거리),610,0.0456,0.2213,11.6,875972285.0
3130051,동화동 골목형상점가,470,0.0456,0.1766,8.4,296564899.0
3120132,독산동,1148,0.0456,0.3031,15.7,908368226.0
3111060,암사역 2번(서울강동초등학교),803,0.0456,0.2154,10.5,448070857.0
3110076,삼각지역 14번,70,0.0456,0.2,4.4,305503841.0
3110167,용마초등학교,614,0.0455,0.1808,6.6,261936353.0
3110767,도림동주민센터,33,0.0455,0.0909,3.1,41551473.0
3110522,홍제역 3번,87,0.0455,0.1724,3.9,14144226.0
3120012,대학로(혜화역),968,0.0455,0.3771,20.9,1453807428.0
3110326,장위동성당,22,0.0455,0.0909,3.0,17465235.0
3110495,북가좌2동주민센터,562,0.0454,0.169,6.4,338639263.0
3110351,수유북부시장옆,265,0.0454,0.1358,4.7,79525091.0
3110850,사당역 10번,801,0.0454,0.2322,10.1,435286837.0
3110509,연희대우아파트앞,329,0.0454,0.2128,6.8,296649014.0
3110485,연신내우체국,187,0.0454,0.2139,6.9,86397106.0
3130047,테크노상가(엘리시움),76,0.0453,0.4079,349.6,1490356674.0
3110434,태릉입구역 4번,151,0.0453,0.1722,5.1,41174619.0
3110743,시흥초등학교(시흥1동우체국),481,0.0453,0.1954,6.9,140271122.0
3130293,봉천중앙시장,84,0.0453,0.1667,6.7,327191632.0
3110890,봉천역 1번(관악초등학교),259,0.0453,0.1506,5.4,112143699.0
3110377,미아사거리역 3번,172,0.0453,0.25,7.8,235942182.0
3110407,도봉역 2번,508,0.0452,0.2028,9.6,360841640.0
3111064,둔촌동역 4번,325,0.0452,0.1846,6.1,83468328.0
3120242,강동구청역,847,0.0452,0.2491,11.9,583730243.0
3120130,구로디지털단지역,955,0.0452,0.289,13.7,1274119538.0
3110658,화곡초등학교,279,0.0452,0.2115,6.9,255898495.0
3120198,구역삼세무서,1024,0.0452,0.3115,15.4,695730476.0
3130248,영등포역지하도상점가,439,0.0452,0.2916,26.3,1822941258.0
3120068,사가정역,607,0.0452,0.2076,8.0,854617050.0
3110177,동의초등학교,76,0.0452,0.1316,4.3,75602862.0
3120016,동대문역,444,0.0452,0.2883,15.4,488951398.0
3120181,교육개발원입구사거리,476,0.0452,0.1828,7.4,1046274741.0
3120085,은행사거리,893,0.0451,0.2665,20.4,1018645258.0
3110314,종암경찰서,689,0.0451,0.1858,7.1,362757882.0
3110417,월계역 3번,150,0.0451,0.1267,4.2,72733819.0
3111027,문정초등학교,593,0.0451,0.2142,7.4,292030993.0
3110536,돈의문센트레빌아파트입구,113,0.0451,0.0796,3.4,109406345.0
3120172,교대입구교차로,951,0.0451,0.2965,13.7,776500853.0
3110717,남구로역 2번,822,0.0451,0.2579,9.5,337025492.0
3130263,신노량진시장(기능상실),81,0.0451,0.1235,3.5,409198406.0
3120037,동대문역사문화공원역,986,0.0451,0.3692,57.0,2281140197.0
3110403,방학1동주민센터,554,0.0451,0.2455,10.8,260024519.0
3110563,상수역 3번,56,0.0451,0.1429,5.7,424083105.0
3110547,KB국민은행 망원동지점,427,0.0451,0.1967,8.7,305606630.0
3120055,군자역,1207,0.045,0.3297,17.8,1287545457.0
3110387,쌍문초등학교,419,0.045,0.1432,5.4,157464720.0
3110460,구산역 4번,629,0.045,0.2194,8.7,407569130.0
3110622,달마을공원,282,0.045,0.1596,5.5,141679089.0
3110634,송정역 3번,748,0.045,0.2099,8.2,371711460.0
3120113,오목교역,1013,0.0449,0.3218,14.7,1151099894.0
3110606,신한은행 신월동지점,590,0.0449,0.1797,7.0,331425089.0
3110371,삼양입구사거리,294,0.0449,0.1871,6.4,347838816.0
3110858,신대방역 1번,247,0.0449,0.1296,4.0,165508931.0
3120166,방배역,1107,0.0449,0.3252,14.7,1246998138.0
3110446,내를건너서숲으로도서관,133,0.0449,0.1579,5.8,35807499.0
3120088,구산역,685,0.0448,0.1766,7.5,1164222347.0
3110453,신사1동주민센터,508,0.0448,0.1969,7.9,206881248.0
3110294,서경대학교,359,0.0448,0.1588,5.9,271025489.0
3110527,홍제역 2번,223,0.0448,0.1435,4.7,115885839.0
3111015,석촌역 3번,640,0.0448,0.2438,9.9,278612387.0
3110665,곰달래도서관,437,0.0448,0.1808,8.9,325826768.0
3130181,아현가구거리상점가,156,0.0447,0.2115,14.6,644218904.0
3130170,제일시장,570,0.0447,0.2439,17.7,523055926.0
